task,arm,trial,verdict,read_lore,compliance_hits,violation_hits,cost_usd,input_tokens,output_tokens,cache_read,tool_calls,duration_ms,num_turns
founder-crm-outreach,cold,1,fail,False,0,0,,3800,203,75889,13,49767,8
founder-crm-outreach,lore,1,fail,True,3,1,,5710,4027,111473,19,75398,9
community-dashboard,cold,1,fail,False,0,0,,5278,178,80625,9,31776,5
community-dashboard,lore,1,pass,True,3,0,,5623,4959,109809,22,78926,8
redaccion-nota,cold,1,fail,False,0,0,,6015,214,64945,8,28837,5
redaccion-nota,lore,1,pass,True,4,0,,371,576,104561,17,85722,15
divulgacion-manifiesto,cold,1,fail,False,0,0,,5897,143,63729,6,32424,6
divulgacion-manifiesto,lore,1,pass,True,4,0,,2699,6305,103025,20,89193,8
founder-propuesta,cold,1,fail,False,0,0,,4410,174,82353,9,62761,10
founder-propuesta,lore,1,pass,True,3,0,,516,6612,103665,17,114348,18
web-permanent-artist-landing,cold,1,fail,False,0,2,,2238,514,81073,10,54588,9
web-permanent-artist-landing,lore,1,fail,True,2,1,,374,418,115825,24,92098,11
founder-crm-outreach,cold,2,fail,False,0,0,,10258,188,78193,7,62506,6
founder-crm-outreach,cold,3,fail,False,0,0,,177,229,62833,3,40429,4
founder-crm-outreach,lore,2,pass,True,3,0,,5570,4076,110257,18,86015,8
founder-crm-outreach,lore,3,pass,True,3,0,,3704,6429,99249,17,90607,7
community-dashboard,cold,2,n/a,False,0,0,,62646,93,113,1,80024,1
community-dashboard,cold,3,n/a,False,0,0,,0,0,0,0,79060,0
community-dashboard,lore,2,n/a,False,0,0,,0,0,0,0,75406,0
community-dashboard,lore,3,n/a,False,0,0,,0,0,0,0,81359,0
redaccion-nota,cold,2,n/a,False,0,0,,0,0,0,0,80785,0
redaccion-nota,cold,3,n/a,False,0,0,,0,0,0,0,77561,0
redaccion-nota,lore,2,n/a,False,0,0,,0,0,0,0,78787,0
redaccion-nota,lore,3,n/a,False,0,0,,0,0,0,0,80688,0
divulgacion-manifiesto,cold,2,n/a,False,0,0,,0,0,0,0,77620,0
divulgacion-manifiesto,cold,3,n/a,False,0,0,,0,0,0,0,78159,0
divulgacion-manifiesto,lore,2,n/a,False,0,0,,0,0,0,0,81518,0
divulgacion-manifiesto,lore,3,n/a,False,0,0,,0,0,0,0,81839,0
founder-propuesta,cold,2,n/a,False,0,0,,0,0,0,0,82668,0
founder-propuesta,cold,3,n/a,False,0,0,,0,0,0,0,81419,0
founder-propuesta,lore,2,n/a,False,0,0,,0,0,0,0,80965,0
founder-propuesta,lore,3,n/a,False,0,0,,0,0,0,0,80796,0
web-permanent-artist-landing,cold,2,n/a,False,0,0,,0,0,0,0,79435,0
web-permanent-artist-landing,cold,3,n/a,False,0,0,,0,0,0,0,78173,0
web-permanent-artist-landing,lore,2,n/a,False,0,0,,0,0,0,0,79778,0
web-permanent-artist-landing,lore,3,n/a,False,0,0,,0,0,0,0,81874,0
