task,arm,trial,verdict,read_lore,compliance_hits,violation_hits,cost_usd,input_tokens,output_tokens,cache_read,tool_calls,duration_ms,num_turns
founder-crm,cold,1,pass,false,8,0,,75107,1768,69632,3,45661,1
founder-crm,cold,2,pass,false,8,0,,35069,1474,26112,1,35581,1
founder-crm,lore,1,pass,true,8,0,,505124,3548,454144,13,104542,1
news-draft,cold,1,fail,false,5,3,,72114,1129,64512,3,47347,1
news-draft,cold,2,fail,false,5,3,,50501,1025,42240,2,29159,1
news-draft,lore,1,pass,true,8,0,,235802,2119,203776,7,65815,1
web-landing,cold,1,pass,false,8,0,,37149,1517,26112,1,36340,1
web-landing,cold,2,pass,false,8,0,,106166,1883,94720,5,49469,1
web-landing,lore,1,pass,true,8,0,,453772,3016,414464,12,88734,1
web-landing,lore,2,pass,true,8,0,,277790,2841,243456,8,79295,1
