task,arm,trial,verdict,read_lore,compliance_hits,violation_hits,cost_usd,input_tokens,output_tokens,cache_read,tool_calls,duration_ms,num_turns
a11y-focus-outline,cold,1,pass,false,1,0,,345815,1475,310528,10,55358,1
a11y-focus-outline,cold,2,pass,false,1,0,,140463,901,132096,7,36610,1
a11y-focus-outline,cold,3,pass,false,1,0,,413949,1855,369664,15,73319,1
a11y-focus-outline,lore,1,pass,true,1,0,,136427,815,117248,5,33153,1
a11y-focus-outline,lore,2,pass,true,1,0,,365493,1675,292352,9,59505,1
a11y-focus-outline,lore,3,pass,true,1,0,,164520,1280,110080,6,43789,1
animation-fouc,cold,1,fail,false,0,1,,127457,1637,105728,6,46516,1
animation-fouc,cold,2,fail,false,1,0,,157944,3113,138240,7,76943,1
animation-fouc,cold,3,fail,false,1,0,,71916,1655,57344,5,44442,1
animation-fouc,lore,1,pass,true,2,0,,225064,3320,174336,8,87854,1
animation-fouc,lore,2,pass,true,2,0,,230028,2417,182528,10,64354,1
animation-fouc,lore,3,pass,true,2,0,,402309,2823,322048,12,85495,1
animation-progress-scalex,cold,1,pass,false,2,0,,51975,1307,38144,3,35819,1
animation-progress-scalex,cold,2,pass,false,2,0,,68825,1380,47360,4,48633,1
animation-progress-scalex,cold,3,pass,false,2,0,,52026,1548,46336,3,37646,1
animation-progress-scalex,lore,1,pass,true,2,0,,199913,1561,166144,6,47104,1
animation-progress-scalex,lore,2,pass,true,2,0,,153110,1641,122368,5,43198,1
animation-progress-scalex,lore,3,pass,true,2,0,,225474,2188,184320,9,62743,1
deploy-zip-windows,cold,1,pass,false,1,0,,66054,602,54272,3,21339,1
deploy-zip-windows,cold,2,fail,false,0,1,,66060,538,58368,3,23558,1
deploy-zip-windows,cold,3,fail,false,0,1,,49185,531,46336,2,21209,1
deploy-zip-windows,lore,1,fail,false,0,1,,32804,340,29184,1,15810,1
deploy-zip-windows,lore,2,pass,false,1,0,,32807,417,30208,1,15873,1
deploy-zip-windows,lore,3,fail,false,0,1,,49732,673,38144,2,20945,1
identity-font,cold,1,pass,false,0,0,,165519,1824,140032,9,63540,1
identity-font,cold,2,pass,false,0,0,,109166,1452,97792,5,43390,1
identity-font,cold,3,pass,false,0,0,,111506,1672,89600,4,50290,1
identity-font,lore,1,pass,true,0,0,,129658,2012,102144,8,48678,1
identity-font,lore,2,pass,true,0,0,,125348,1826,96000,8,46058,1
