task,arm,trial,verdict,read_lore,compliance_hits,violation_hits,cost_usd,input_tokens,output_tokens,cache_read,tool_calls,duration_ms,num_turns
animation-fouc,cold,1,fail,false,0,0,0.067535,8,2285,76178,3,27242,4
animation-fouc,cold,2,fail,false,0,0,0.078718,6,1653,50974,2,25392,3
animation-fouc,cold,3,fail,false,0,0,0.065336,6,2552,57216,2,27221,3
animation-fouc,lore,1,pass,true,2,0,0.582814,16,7719,380726,7,93028,8
animation-fouc,lore,2,pass,true,2,0,0.577296,10704,10872,190669,5,120520,6
animation-fouc,lore,3,pass,true,2,0,0.592021,14,10542,330405,6,121827,7
animation-progress-scalex,cold,1,fail,false,1,0,0.117144,10,2888,90519,4,34044,5
animation-progress-scalex,cold,2,fail,false,1,0,0.124144,10,4617,98816,4,50898,5
animation-progress-scalex,cold,3,fail,false,1,0,0.021375,2,1004,18846,0,10504,1
animation-progress-scalex,lore,1,fail,true,1,0,0.392947,24,5423,426831,11,70839,12
animation-progress-scalex,lore,2,fail,true,1,0,0.372957,18,7678,327572,8,88319,9
animation-progress-scalex,lore,3,fail,true,1,0,0.244823,12,2714,200151,5,33621,6
routing-gsap-ssr,cold,1,fail,false,0,0,0.044534,2,1187,15267,0,13401,1
routing-gsap-ssr,cold,2,fail,false,0,0,0.052192,8,1630,75862,3,20716,4
routing-gsap-ssr,cold,3,fail,false,0,0,0.058655,8,1871,76902,3,26029,4
routing-gsap-ssr,lore,1,pass,true,2,0,0.308143,16,2949,287031,7,38226,8
routing-gsap-ssr,lore,2,pass,true,2,0,0.307724,18,3921,318768,8,47198,9
routing-gsap-ssr,lore,3,pass,true,2,0,0.305770,26,6045,369308,16,69765,17
routing-tailwind-duration,cold,1,pass,false,1,0,0.059252,8,613,72696,3,11456,4
routing-tailwind-duration,cold,2,fail,false,0,1,0.038927,8,655,75963,3,11545,4
routing-tailwind-duration,cold,3,fail,false,0,0,0.037660,8,568,76147,3,9975,4
routing-tailwind-duration,lore,1,pass,true,1,0,0.278927,18,2905,269366,8,41777,9
routing-tailwind-duration,lore,2,n/a,false,0,0,0.000000,0,0,0,0,807,1
routing-tailwind-duration,lore,3,n/a,false,0,0,0.000000,0,0,0,0,476,1
routing-scroll-behavior-attr,cold,1,n/a,false,0,0,0.000000,0,0,0,0,461,1
routing-scroll-behavior-attr,cold,2,n/a,false,0,0,0.000000,0,0,0,0,462,1
routing-scroll-behavior-attr,cold,3,n/a,false,0,0,0.000000,0,0,0,0,453,1
routing-scroll-behavior-attr,lore,1,n/a,false,0,0,0.000000,0,0,0,0,458,1
routing-scroll-behavior-attr,lore,2,n/a,true,0,0,0.030938,2,200,15267,1,3461,2
routing-scroll-behavior-attr,lore,3,n/a,false,0,0,0.000000,0,0,0,0,430,1
scroll-lenis-ticker,cold,1,n/a,false,0,0,0.000000,0,0,0,0,578,1
scroll-lenis-ticker,cold,2,n/a,false,0,0,0.000000,0,0,0,0,451,1
scroll-lenis-ticker,cold,3,n/a,false,0,0,0.000000,0,0,0,0,430,1
scroll-lenis-ticker,lore,1,n/a,false,0,0,0.000000,0,0,0,0,478,1
scroll-lenis-ticker,lore,2,n/a,false,0,0,0.000000,0,0,0,0,479,1
scroll-lenis-ticker,lore,3,n/a,false,0,0,0.000000,0,0,0,0,662,1
scroll-body-unlock,cold,1,n/a,false,0,0,0.000000,0,0,0,0,497,1
scroll-body-unlock,cold,2,n/a,false,0,0,0.000000,0,0,0,0,482,1
scroll-body-unlock,cold,3,n/a,false,0,0,0.000000,0,0,0,0,829,1
scroll-body-unlock,lore,1,n/a,false,0,0,0.000000,0,0,0,0,581,1
scroll-body-unlock,lore,2,n/a,false,0,0,0.000000,0,0,0,0,440,1
scroll-body-unlock,lore,3,n/a,false,0,0,0.000000,0,0,0,0,442,1
stack-viewport-height,cold,1,n/a,false,0,0,0.000000,0,0,0,0,454,1
stack-viewport-height,cold,2,n/a,false,0,0,0.000000,0,0,0,0,452,1
stack-viewport-height,cold,3,n/a,false,0,0,0.000000,0,0,0,0,442,1
stack-viewport-height,lore,1,n/a,false,0,0,0.000000,0,0,0,0,496,1
stack-viewport-height,lore,2,n/a,false,0,0,0.000000,0,0,0,0,482,1
stack-viewport-height,lore,3,n/a,false,0,0,0.000000,0,0,0,0,432,1
identity-font,cold,1,n/a,false,0,0,0.000000,0,0,0,0,472,1
identity-font,cold,2,n/a,false,0,0,0.000000,0,0,0,0,433,1
identity-font,cold,3,n/a,false,0,0,0.000000,0,0,0,0,450,1
identity-font,lore,1,n/a,false,0,0,0.000000,0,0,0,0,426,1
identity-font,lore,2,n/a,false,0,0,0.000000,0,0,0,0,480,1
identity-font,lore,3,n/a,false,0,0,0.000000,0,0,0,0,438,1
a11y-focus-outline,cold,1,n/a,false,0,0,0.000000,0,0,0,0,470,1
a11y-focus-outline,cold,2,n/a,false,0,0,0.000000,0,0,0,0,452,1
a11y-focus-outline,cold,3,n/a,false,0,0,0.000000,0,0,0,0,465,1
a11y-focus-outline,lore,1,n/a,false,0,0,0.000000,0,0,0,0,465,1
a11y-focus-outline,lore,2,n/a,false,0,0,0.000000,0,0,0,0,430,1
a11y-focus-outline,lore,3,n/a,false,0,0,0.000000,0,0,0,0,406,1
motion-scroll-listener,cold,1,n/a,false,0,0,0.000000,0,0,0,0,446,1
motion-scroll-listener,cold,2,n/a,false,0,0,0.000000,0,0,0,0,490,1
motion-scroll-listener,cold,3,n/a,false,0,0,0.000000,0,0,0,0,654,1
motion-scroll-listener,lore,1,n/a,false,0,0,0.000000,0,0,0,0,451,1
motion-scroll-listener,lore,2,n/a,false,0,0,0.000000,0,0,0,0,450,1
motion-scroll-listener,lore,3,n/a,false,0,0,0.000000,0,0,0,0,483,1
deploy-zip-windows,cold,1,n/a,false,0,0,0.000000,0,0,0,0,447,1
deploy-zip-windows,cold,2,n/a,false,0,0,0.000000,0,0,0,0,464,1
deploy-zip-windows,cold,3,n/a,false,0,0,0.000000,0,0,0,0,471,1
deploy-zip-windows,lore,1,n/a,false,0,0,0.000000,0,0,0,0,771,1
deploy-zip-windows,lore,2,n/a,false,0,0,0.000000,0,0,0,0,492,1
deploy-zip-windows,lore,3,n/a,false,0,0,0.000000,0,0,0,0,514,1
